1,UTELS,37,Кирилл Шумахер
2,Mixnet,90,Александр Ефремов
3,Укртелеком,59,Софья Шумахер
4,Укртелеком,139,Софья Шумахер
5,Lanet,57,Софья Митрофанов
6,ФРИНЕТ,105,Кирилл Авраменко
7,Optinet,110,Диана Митрофанов
8,Lanet,20,Софья Дюма
9,UTELS,144,Алексей Цой
10,Triolan,37,Анастасия Дюма
11,UTELS,137,Анастасия Авраменко
12,Укртелеком,32,Софья Жуковский
13,Vega Telecom,97,Диана Жуковский
14,UTELS,62,Владимир Жуковский
15,IT-Invest,79,Владимир Авраменко
16,Укртелеком,23,Анастасия Ефремов
17,WestNet,139,Софья Жуковский
18,Mixnet,26,Евгения Дюма
19,Optinet,132,Кирилл Жуковский
20,Mixnet,157,Виктор Любимов
21,Lanet,2,Владимир Ефремов
22,Mixnet,80,Софья Цой
23,Mixnet,132,Софья Дюма
24,Укртелеком,107,Александр Дюма
25,Vega Telecom,123,Кирилл Жуковский
26,ФРИНЕТ,79,Евгения Жуковский
27,IT-Invest,63,Александр Авраменко
28,UTELS,147,Диана Митрофанов
29,Optinet,126,Алексей Жуковский
30,UTELS,138,Владимир Авраменко
31,Укртелеком,32,Евгения Ефремов
32,ФРИНЕТ,97,Софья Ефремов
33,Triolan,105,Софья Авраменко
34,UTELS,108,Анастасия Митрофанов
35,WestNet,5,Диана Митрофанов
36,UTELS,99,Александр Дюма
37,Optinet,55,Владимир Любимов
38,WestNet,68,Анастасия Митрофанов
39,IT-Invest,54,Алексей Любимов
40,Укртелеком,61,Софья Авраменко
41,WestNet,111,Анастасия Жуковский
42,Triolan,40,Кирилл Дюма
43,Lanet,83,Кирилл Ефремов
44,IT-Invest,99,Владимир Митрофанов
45,WestNet,81,Евгения Авраменко
46,ФРИНЕТ,68,Владимир Дюма
47,UTELS,45,Евгения Цой
48,IT-Invest,81,Диана Жуковский
49,Vega Telecom,24,Софья Жуковский
50,Mixnet,55,Александр Любимов
51,UTELS,43,Диана Авраменко
52,UTELS,127,Софья Авраменко
53,Укртелеком,80,Александр Цой
54,Lanet,96,Александр Жуковский
55,Optinet,5,Диана Ефремов
56,UTELS,134,Владимир Митрофанов
57,Triolan,38,Александр Цой
58,Mixnet,4,Софья Жуковский
59,UTELS,14,Владимир Жуковский
60,Triolan,16,Анастасия Авраменко
61,Optinet,45,Евгения Жуковский
62,Mixnet,106,Диана Шумахер
63,Optinet,79,Александр Дюма
64,Lanet,106,Евгения Авраменко
65,Укртелеком,111,Анастасия Шумахер
66,Triolan,34,Владимир Жуковский
67,Mixnet,60,Софья Ефремов
68,ФРИНЕТ,57,Алексей Митрофанов
69,Укртелеком,41,Евгения Цой
70,Optinet,149,Александр Цой
71,Lanet,137,Виктор Любимов
72,Vega Telecom,133,Владимир Жуковский
73,IT-Invest,20,Алексей Митрофанов
74,Triolan,22,Анастасия Любимов
75,Укртелеком,37,Диана Митрофанов
76,Lanet,47,Владимир Жуковский
77,Optinet,31,Александр Дюма
78,Vega Telecom,112,Кирилл Жуковский
79,Укртелеком,55,Софья Любимов
80,Triolan,115,Софья Ефремов
81,Triolan,72,Владимир Любимов
